SENSITIVITY,Sea birds,Coral reef fish,Deep fish squid,Demersal fish,Infauna,Mobile epifauna,Pelagic fish,Rays skates,Sharks,Tuna billfish,Whale shark,Abyss soft,Abyss hard,Cold coral reef,Slope hard,Slope soft,Thermal vents,Ocean ridge,Deep pelagic,Midwater pelagic,Photic pelagic,Upwelling pelagic,Seamounts,Shelf hard (temp),Shelf soft (temp),Kelp forest (temp),Algae bed (temp),Mudflat (temp),Penguin feedground,Salt marsh (temp),Seagrass bed (temp),Shallow soft (temp),Shallow hard (temp),Shore (temp),Mesophotic coral,Shelf hard,Shelf soft,Algae bed,Mangrove,Mudflat,Salt marsh,Seagrass bed,Coral reef,Shallow hard,Shallow soft,Shore,Baleen whales,Dolphins,Dugong,Fur seals,Toothed whales,Sea turtles
Piers and docks,0.45,0.36,0.1,0.26,0.37,0.33,0.22,0.2,0.2,0.2,0.13,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0.55,0.65,0.45,0.32,0.5,0.55,0.6,0.64,0.65,0.57,0.8,0.4,0.43,0.4,0.32,0.6,0.4,0.36,0.6,0.6,0.57,0.27,0.51,0.3,0.35,0.3,0.2,0.25,0.5
Ports,0.5,0.42,0.23,0.29,0.4,0.4,0.34,0.23,0.28,0.29,0.13,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0.6,0.75,0.6,0.47,0.8,0.6,0.75,0.72,0.75,0.3,0.95,0.3,0.4,0.37,0.47,0.63,0.45,0.44,0.48,0.48,0.3,0.33,0.43,0.28,0.48,0.3,0.2,0.36,0.53
Hydrology change,0.4,0.4,0.13,0.4,0.48,0.4,0.1,0.2,0.32,0.1,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0.4,0.6,0.5,0.33,0.4,0.35,0.75,0.7,0.65,0.13,0.65,0.2,0.13,0.13,0.33,0.7,0.47,0.47,0.47,0.36,0.13,0.47,0.45,0.25,0.25,0.25,0.13,0.2,0.32
Artisanal fishing,0.4,0.56,0.53,0.55,0.5,0.77,0.66,0.55,0.56,0.5,0.45,0.1,0.2,0.2,0.2,0.13,0,0.2,0,0,0.2,0.2,0.2,0.53,0.6,0.6,0.3,0,0,0.53,0.5,0.47,0.25,0.53,0.6,0.3,0.3,0.3,0.55,0.13,0.3,0.28,0.4,0.25,0.3,0.2,0.25,0.3,0.2,0,0.15,0.48
Crustacean pots,0.4,0.24,0.33,0.45,0.2,0.77,0.16,0.15,0.24,0.07,0.2,0.1,0.2,0.6,0.33,0.27,0.33,0.27,0.4,0.4,0.4,0.4,0.27,0.47,0.47,0.6,0.3,0.2,0,0.4,0.4,0.47,0.35,0,0.6,0.3,0.3,0.3,0.3,0.33,0.3,0.36,0.47,0.35,0.35,0.16,0.27,0.33,0.2,0,0.13,0.35
Demersal gillnet,0,0.54,0.55,0.71,0.12,0.28,0.43,0.53,0.46,0.34,0.4,0.6,0.6,0.8,0.33,0.6,0.53,0.6,0,0,0,0,0.6,0.2,0.6,0.4,0.4,0,0.4,0.4,0.4,0.53,0.4,0,0.4,0.3,0.45,0.4,0.25,0.13,0.4,0.47,0.53,0.4,0.5,0.2,0.53,0.53,0.33,0.4,0.33,0.65
Demersal trawl,0.4,0.6,0.73,0.75,0.48,0.56,0.33,0.53,0.37,0.25,0.4,0.6,0.6,0.8,0.8,0.73,0.73,0.67,0.2,0.2,0.2,0,0.67,0.8,0.8,0.8,0.6,0,0,0.6,0.6,0.8,0.65,0,0.9,0.65,0.65,0.6,0.4,0.13,0.5,0.53,0.8,0.65,0.65,0.2,0.33,0.27,0.33,0.4,0.27,0.55
Floating longline,0.53,0.43,0.35,0.4,0.06,0.11,0.4,0.43,0.63,0.78,0.34,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.6,0,0,0,0.2,0,0,0,0.2,0,0.3,0,0.2,0.35,0.4,0.2,0.13,0.13,0.2,0.28,0.33,0.3,0.4,0.2,0.35,0.5,0.4,0.6,0.45,0.52
Ghost fishing,0.53,0.43,0.27,0.3,0.15,0.3,0.28,0.53,0.54,0.27,0.23,0.47,0.4,0.53,0.33,0.47,0.27,0.2,0,0,0,0,0.33,0.2,0.2,0.2,0.3,0,0.53,0.2,0.3,0.2,0.3,0,0.6,0.47,0.47,0.3,0.55,0.2,0.3,0.52,0.55,0.3,0.27,0.32,0.35,0.5,0.4,0.4,0.35,0.52
Pelagic gillnet,0,0.4,0.2,0.35,0.1,0.1,0.57,0.55,0.6,0.64,0.55,0.4,0.4,0.2,0.2,0.6,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0,0,0,0.2,0,0.4,0,0.2,0,0.3,0,0.2,0.35,0.4,0.2,0.2,0.13,0.1,0.24,0.4,0.3,0.4,0.2,0.53,0.6,0.5,0.6,0.53,0.65
Pelagic seine,0.53,0.28,0.33,0.2,0.08,0.08,0.55,0.44,0.53,0.55,0.44,0.6,0.4,0.8,0.4,0.6,0.4,0.6,0.6,0.33,0.53,0.4,0.6,0,0,0,0.1,0,0.53,0,0,0,0.2,0,0,0.15,0.25,0.1,0.13,0.13,0,0.25,0.27,0.2,0.25,0.08,0.25,0.55,0.4,0.6,0.25,0.68
Pelagic trawl,0.53,0.31,0.3,0.2,0.08,0.08,0.64,0.48,0.6,0.58,0.54,0.6,0.4,0.6,0.4,0.6,0.4,0.53,0.47,0.4,0.47,0.4,0.53,0,0,0,0.1,0,0.53,0,0,0,0.2,0,0.6,0.15,0.25,0.1,0.13,0.13,0.1,0.25,0.56,0.2,0.25,0.08,0.25,0.35,0.4,0.6,0.2,0.68
Sport fishing,0.4,0.4,0.35,0.31,0.24,0.24,0.28,0.31,0.4,0.56,0.26,0,0,0.4,0.2,0.2,0,0,0,0,0.2,0.2,0,0.6,0.6,0.47,0.1,0,0.4,0.6,0.6,0.47,0.2,0.53,0.3,0.2,0.3,0.1,0.25,0.2,0.2,0.28,0.3,0.2,0.3,0.28,0.27,0.27,0.2,0.2,0.2,0.35
Weighted longline,0,0.56,0.47,0.6,0.1,0.3,0.08,0.5,0.45,0.28,0.15,0.6,0.6,0.33,0.4,0.47,0.33,0.4,0,0,0,0,0.53,0.53,0.4,0.2,0.2,0,0,0,0.2,0.2,0.45,0,0.73,0.35,0.45,0.2,0.13,0.13,0.1,0.24,0.6,0.45,0.45,0.2,0.4,0.33,0.4,0.4,0.4,0.6
Other fishing,0.29,0.45,0.42,0.46,0.15,0.22,0.43,0.5,0.52,0.49,0.4,0.57,0.51,0.53,0.42,0.6,0.4,0.54,0.21,0.19,0.23,0.17,0.56,0.22,0.26,0.2,0.26,0,0.27,0.14,0.23,0.22,0.36,0,0.43,0.33,0.41,0.26,0.2,0.13,0.2,0.32,0.5,0.36,0.41,0.17,0.38,0.8,0.4,0.51,0.35,0.62
Plastic litter,0,0.4,0.32,0.3,0.33,0.33,0.43,0.3,0.3,0.35,0.37,0,0,0.6,0,0,0,0,0.2,0.2,0.4,0.4,0,0,0,0.4,0.3,0.4,0.53,0.2,0.3,0.4,0.1,0.4,0.33,0,0,0.3,0.56,0.35,0.3,0.33,0.5,0.1,0.35,0.48,0.5,0.5,0.47,0.8,0.55,0.56
Seabed mining,0,0.49,0.5,0.64,0.57,0.53,0.53,0.37,0.33,0.37,0.3,0.67,0.67,1,0.67,0.6,0.73,0.53,0.6,0.4,0.2,0.4,0.67,0.67,0.67,0.87,0.3,0,0,0.6,0.6,0.67,0.6,0.4,0.9,0.7,0.65,0.3,0.35,0.1,0.4,0.6,0.6,0.6,0.6,0.24,0.4,0.4,0.4,0.4,0.4,0.4
