SENSITIVITY,Sea birds,Coral reef fish,Deep fish squid,Demersal fish,Infauna,Mobile epifauna,Pelagic fish,Rays skates,Sharks,Tuna billfish,Whale shark,Abyss soft,Abyss hard,Cold coral reef,Slope hard,Slope soft,Thermal vents,Ocean ridge,Deep pelagic,Midwater pelagic,Photic pelagic,Upwelling pelagic,Seamounts,Shelf hard (temp),Shelf soft (temp),Kelp forest (temp),Algae bed (temp),Mudflat (temp),Penguin feedground,Salt marsh (temp),Seagrass bed (temp),Shallow soft (temp),Shallow hard (temp),Shore (temp),Mesophotic coral,Shelf hard,Shelf soft,Algae bed,Mangrove,Mudflat,Salt marsh,Seagrass bed,Coral reef,Shallow hard,Shallow soft,Shore,Baleen whales,Dolphins,Dugong,Fur seals,Toothed whales,Sea turtles
Renewable energy,0,0.05,0.02,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.16,0.04,0.16,0.09,0.04,0,0.16,0.16,0.04,0.04,0.04,0.16,0.04,0.01,0.09,0.04,0.04,0.16,0.16,0.16,0.04,0.04,0.07,0.07,0.07,0.07,0.04,0.09,0.09
Submarine cables,0,0.05,0.02,0.03,0.08,0.06,0.03,0.05,0.05,0.04,0.04,0.22,0.04,0.28,0.04,0.22,0.07,0.04,0,0,0,0,0.04,0.16,0.36,0.16,0.09,0,0,0.04,0.25,0.16,0.2,0,0.25,0.16,0.2,0.09,0.09,0.01,0.09,0.22,0.22,0.2,0.2,0.06,0.07,0.07,0.07,0.04,0.16,0.07
Air pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.16,0,0,0,0.04,0,0,0,0,0.16,0.04,0.09,0,0,0,0,0.1,0.11,0.11,0.11,0.04,0.11,0.12
Inorganic toxins,0.28,0.29,0.3,0.29,0.4,0.32,0.2,0.18,0.18,0.25,0.24,0.22,0.11,0.86,0.04,0.02,0.64,0.04,0.22,0.16,0.22,0.36,0.04,0.16,0.36,0.36,0.16,0.16,0.28,0.16,0.16,0.36,0.09,0.16,0.22,0.06,0.12,0.16,0.56,0.12,0.09,0.36,0.25,0.09,0.2,0.23,0.36,0.3,0.22,0.64,0.3,0.46
Oilspill risk,0.45,0.32,0.28,0.28,0.27,0.23,0.36,0.19,0.18,0.19,0.19,0.22,0.11,0.64,0.11,0.16,0.16,0.11,0.36,0.16,0.22,0.36,0.11,0.53,0.64,0.16,0.25,0.64,0.45,0.86,0.86,0.64,0.12,0.86,0.16,0.09,0.09,0.25,0.58,0.3,0.36,0.49,0.36,0.12,0.16,0.41,0.2,0.3,0.22,0.36,0.2,0.36
Organic toxins,0.28,0.18,0.16,0.18,0.25,0.22,0.14,0.14,0.14,0.16,0.11,0.22,0.11,0.86,0.04,0.02,0.07,0.04,0.22,0.16,0.22,0.36,0.04,0.16,0.36,0.36,0.16,0.16,0.28,0.16,0.16,0.36,0.09,0.16,0.28,0.06,0.12,0.16,0.56,0.16,0.16,0.36,0.25,0.09,0.16,0.23,0.36,0.25,0.22,0.64,0.3,0.46
Diving,0.02,0.05,0,0.04,0,0.04,0.01,0.04,0.03,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.09,0,0.02,0.04,0.09,0,0.06,0.07,0.07,0.02,0.06,0.09,0.12,0,0.09,0.13,0.25,0.06,0.09,0.01,0.04,0.09,0.04,0.04,0.04,0.06
Boating,0.22,0.05,0,0.03,0.01,0.01,0.03,0.03,0.03,0.04,0.06,0,0,0,0.07,0.16,0,0,0,0,0,0,0,0.04,0.04,0.22,0.09,0.04,0.16,0.36,0.36,0.04,0.04,0.36,0.04,0.02,0.02,0.09,0.04,0.04,0.04,0.08,0.11,0.04,0.04,0.06,0.12,0.16,0.11,0.16,0.12,0.19
Shark control,0,0.07,0.04,0.06,0.01,0.01,0.04,0.13,0.16,0.04,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0,0,0.04,0.16,0.04,0.04,0,0.36,0.04,0.04,0.04,0.16,0.01,0.04,0.07,0.36,0.04,0.04,0.02,0.11,0.28,0.11,0.36,0.11,0.16
Coastal tourism,0.11,0.05,0,0.01,0.04,0.03,0.01,0.01,0.04,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.01,0.16,0.07,0.04,0.16,0.04,0.04,0.16,0.01,0.04,0.09,0.01,0.25,0.06,0.09,0.16,0.16,0.04,0.12,0.16,0.04,0.16,0.04,0.04,0.04,0.09
Ship pollution,0.45,0.09,0.07,0.16,0.23,0.19,0.1,0.1,0.13,0.07,0.1,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.53,0.53,0.53,0.06,0.04,0.45,0.53,0.53,0.53,0.09,0.53,0.31,0.16,0.16,0.06,0.06,0.06,0.09,0.26,0.31,0.09,0.12,0.16,0.56,0.25,0.36,0.64,0.42,0.25
Ship strike,0.04,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.3,0.28,0.64,0.49,0.04
Underwater noise,0.16,0.04,0,0.09,0,0,0.07,0.19,0.16,0.16,0.19,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0.04,0.04,0.04,0.09,0,0.28,0.04,0.09,0.04,0.01,0,0.19,0.01,0.01,0.09,0.01,0,0.09,0.08,0.18,0.01,0.01,0.08,0.45,0.2,0.28,0.16,0.2,0.2
Research sampling,0.09,0.04,0.01,0.04,0.01,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0,0.04,0,0.02,0.01,0,0.01,0.01,0.01,0.01,0,0.3,0.36,0.16,0.02,0.01,0.12,0.2,0.2,0.25,0.06,0.3,0.07,0.06,0.06,0.02,0.09,0.06,0.02,0.06,0.16,0.06,0.09,0.04,0.02,0.02,0.02,0.04,0.02,0.04
Seismic surveys,0.12,0.25,0.12,0.23,0.19,0.19,0.18,0.16,0.16,0.1,0.16,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0,0,0,0.09,0.04,0.04,0.01,0.11,0.01,0.04,0.04,0.04,0.04,0.04,0.01,0.22,0.16,0.16,0.11,0.04,0,0.11,0.12,0.16,0.04,0.04,0.04,0.49,0.46,0.36,0.25,0.41,0.27
